,type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates
2035,Feature,nn00579283,2.3,"31 km ENE of Nixon, Nevada",1487631786321,1530555979687,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00579283,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00579283&format=geojson,,,,,reviewed,0,81,nn,00579283,",nn00579283,",",nn,",",origin,phase-data,",10.0,0.35,0.1524,215.95,ml,earthquake,"M 2.3 - 31 km ENE of Nixon, Nevada",Point,"[-119.0002, 39.8966, 10.7]"
2036,Feature,nc72766001,1.33,"4 km W of Cobb, California",1487631049970,1487988140751,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72766001,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72766001&format=geojson,,,,,reviewed,0,27,nc,72766001,",nc72766001,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.00662,0.08,106.0,md,earthquake,"M 1.3 - 4 km W of Cobb, California",Point,"[-122.774, 38.8173333, 2.01]"
2037,Feature,us20008l01,4.3,"153 km S of ?yama, Japan",1487631036450,1494983974040,,https://earthquake.usgs.gov/earthquakes/eventpage/us20008l01,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20008l01&format=geojson,,,,,reviewed,0,284,us,20008l01,",us20008l01,",",us,",",origin,phase-data,",,1.44,0.65,73.0,mb,earthquake,"M 4.3 - 153 km S of ?yama, Japan",Point,"[138.0702, 33.2242, 300.77]"
2038,Feature,nn00589001,0.9,"26 km WSW of Hawthorne, Nevada",1487630535644,1530555981250,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00589001,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00589001&format=geojson,,,,,reviewed,0,12,nn,00589001,",nn00589001,",",nn,",",origin,phase-data,",10.0,0.04,0.0772,136.49,ml,earthquake,"M 0.9 - 26 km WSW of Hawthorne, Nevada",Point,"[-118.8795, 38.3944, 11.2]"
2039,Feature,ci37586495,0.77,"5km NNW of Palomar Observatory, CA",1487630284260,1494958840632,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37586495,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37586495&format=geojson,,,,,reviewed,0,9,ci,37586495,",ci37586495,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",29.0,0.04518,0.18,99.0,ml,earthquake,"M 0.8 - 5km NNW of Palomar Observatory, CA",Point,"[-116.8903333, 33.3925, 6.19]"
2040,Feature,ak0172cpnhfh,1.4,"36 km NW of Beluga, Alaska",1487629488612,1560871895942,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cpnhfh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cpnhfh&format=geojson,,,,,reviewed,0,30,ak,0172cpnhfh,",ak15318094,ak0172cpnhfh,",",ak,ak,",",associate,origin,phase-data,",,,0.34,,ml,earthquake,"M 1.4 - 36 km NW of Beluga, Alaska",Point,"[-151.5376, 61.3836, 68.4]"
2041,Feature,ak0172cpm7qv,0.9,"8 km S of Badger, Alaska",1487629136559,1560871895513,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cpm7qv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cpm7qv&format=geojson,,,,,reviewed,0,12,ak,0172cpm7qv,",ak15318091,ak0172cpm7qv,",",ak,ak,",",associate,origin,phase-data,",,,0.34,,ml,earthquake,"M 0.9 - 8 km S of Badger, Alaska",Point,"[-147.5346, 64.728, 11.5]"
2042,Feature,ak0172cplq86,1.2,"12 km SSW of Lake Minchumina, Alaska",1487628989504,1560871894998,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cplq86,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cplq86&format=geojson,,,,,reviewed,0,22,ak,0172cplq86,",ak15318084,ak0172cplq86,",",ak,ak,",",associate,origin,phase-data,",,,0.63,,ml,earthquake,"M 1.2 - 12 km SSW of Lake Minchumina, Alaska",Point,"[-152.4, 63.7732, 0.1]"
2043,Feature,uw61251381,2.16,"14 km S of Princeton, Canada",1487628959220,1487704969520,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61251381,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61251381&format=geojson,,,,,reviewed,0,72,uw,61251381,",uw61251381,",",uw,",",origin,phase-data,",6.0,0.5615,0.29,231.0,ml,explosion,"M 2.2 Explosion - 14 km S of Princeton, Canada",Point,"[-120.4835, 49.3301667, -0.51]"
2044,Feature,nc72765996,0.16,"6 km SW of Cobb, California",1487628636380,1487811423766,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765996,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765996&format=geojson,,,,,reviewed,0,0,nc,72765996,",nc72765996,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.01198,0.03,163.0,md,earthquake,"M 0.2 - 6 km SW of Cobb, California",Point,"[-122.7765, 38.7851667, 0.91]"
2045,Feature,ak0172cpk2pa,1.9,"61 km WNW of Ninilchik, Alaska",1487628538063,1560871894569,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cpk2pa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cpk2pa&format=geojson,,,,,reviewed,0,56,ak,0172cpk2pa,",ak15318081,ak0172cpk2pa,",",ak,ak,",",associate,origin,phase-data,",,,0.6,,ml,earthquake,"M 1.9 - 61 km WNW of Ninilchik, Alaska",Point,"[-152.7244, 60.2225, 108.1]"
2046,Feature,nc72765991,1.78,"11 km WSW of Huron, California",1487628380280,1487907242943,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765991&format=geojson,,,,,reviewed,0,49,nc,72765991,",nc72765991,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.1357,0.08,153.0,md,earthquake,"M 1.8 - 11 km WSW of Huron, California",Point,"[-120.2285, 36.1666667, 10.82]"
2047,Feature,uw61251371,1.44,"8 km NNE of Fern Prairie, Washington",1487628235280,1487705157720,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61251371,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61251371&format=geojson,,,,,reviewed,0,32,uw,61251371,",uw61251371,",",uw,",",origin,phase-data,",8.0,0.2294,0.16,158.0,ml,explosion,"M 1.4 Explosion - 8 km NNE of Fern Prairie, Washington",Point,"[-122.3695, 45.7058333, -0.97]"
2048,Feature,ci37586479,1.02,"5km W of Yucaipa, CA",1487628145370,1494958972366,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37586479,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37586479&format=geojson,,,,,reviewed,0,16,ci,37586479,",ci37586479,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",38.0,0.01212,0.14,50.0,ml,earthquake,"M 1.0 - 5km W of Yucaipa, CA",Point,"[-117.0978333, 34.0361667, 8.18]"
2049,Feature,nc72765986,1.06,"8 km W of Cobb, California",1487627756460,1487628603194,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765986,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765986&format=geojson,,,,,automatic,0,17,nc,72765986,",nc72765986,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01044,0.02,133.0,md,earthquake,"M 1.1 - 8 km W of Cobb, California",Point,"[-122.815834, 38.8095016, 2.68]"
2050,Feature,ci37586471,0.67,"9km NE of Aguanga, CA",1487626576090,1494959856937,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37586471,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37586471&format=geojson,,,,,reviewed,0,7,ci,37586471,",ci37586471,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.07786,0.2,61.0,ml,earthquake,"M 0.7 - 9km NE of Aguanga, CA",Point,"[-116.7925, 33.5025, 6.52]"
2051,Feature,nc72765971,1.48,"7 km W of Cobb, California",1487626081020,1487906522926,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765971,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765971&format=geojson,,,,,reviewed,0,34,nc,72765971,",nc72765971,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",32.0,0.005401,0.03,42.0,md,earthquake,"M 1.5 - 7 km W of Cobb, California",Point,"[-122.8058333, 38.8276667, 0.56]"
2052,Feature,nc72765966,1.5,"7 km W of Cobb, California",1487625785660,1487986908806,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765966,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765966&format=geojson,,,,,reviewed,0,35,nc,72765966,",nc72765966,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.006219,0.03,54.0,md,earthquake,"M 1.5 - 7 km W of Cobb, California",Point,"[-122.8058333, 38.8286667, 0.65]"
2053,Feature,nn00579400,1.5,"43 km WNW of Rachel, Nevada",1487625313950,1530555980105,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00579400,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00579400&format=geojson,,,,,reviewed,0,35,nn,00579400,",nn00579400,",",nn,",",origin,phase-data,",18.0,0.389,0.1957,114.53,ml,earthquake,"M 1.5 - 43 km WNW of Rachel, Nevada",Point,"[-116.1827, 37.8257, 12.8]"
2054,Feature,ci37586463,1.18,"6km S of Idyllwild, CA",1487624807050,1494959053039,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37586463,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37586463&format=geojson,,,,,reviewed,0,21,ci,37586463,",ci37586463,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",38.0,0.02746,0.11,53.0,ml,earthquake,"M 1.2 - 6km S of Idyllwild, CA",Point,"[-116.7156667, 33.6836667, 14.89]"
2055,Feature,ci37151364,0.71,"6km S of Idyllwild, CA",1487624805880,1494959470893,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37151364,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37151364&format=geojson,,,,,reviewed,0,8,ci,37151364,",ci37151364,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.0223,0.07,164.0,ml,earthquake,"M 0.7 - 6km S of Idyllwild, CA",Point,"[-116.7176667, 33.689, 15.72]"
2056,Feature,us100085zg,3.3,"22 km N of Wright, Wyoming",1487624751420,1494983974040,,https://earthquake.usgs.gov/earthquakes/eventpage/us100085zg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us100085zg&format=geojson,,,,,reviewed,0,168,us,100085zg,",us100085zg,",",us,",",origin,phase-data,",,1.027,0.48,84.0,ml,mining explosion,"M 3.3 Mining Explosion - 22 km N of Wright, Wyoming",Point,"[-105.4408, 43.9502, 0]"
2057,Feature,ak0172coxjyb,0.7,"51 km NE of Wiseman, Alaska",1487624630751,1560871894137,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172coxjyb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172coxjyb&format=geojson,,,,,reviewed,0,8,ak,0172coxjyb,",ak15434440,ak0172coxjyb,",",ak,ak,",",associate,origin,phase-data,",,,0.39,,ml,earthquake,"M 0.7 - 51 km NE of Wiseman, Alaska",Point,"[-149.3385, 67.7691, 10.5]"
2058,Feature,ci37586455,2.56,"42km WSW of Maneadero, B.C., MX",1487624378040,1487888452956,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37586455,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37586455&format=geojson,1.0,1.0,,,reviewed,0,101,ci,37586455,",ci37586455,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",16.0,0.4295,0.22,259.0,ml,earthquake,"M 2.6 - 42km WSW of Maneadero, B.C., MX",Point,"[-116.94, 31.5071667, 15.19]"
2059,Feature,nn00590723,1.1,California-Nevada border region,1487624209048,1530555982215,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00590723,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00590723&format=geojson,,,,,reviewed,0,19,nn,00590723,",nn00590723,",",nn,",",origin,phase-data,",3.0,0.028,0.1491,235.87,ml,earthquake,M 1.1 - California-Nevada border region,Point,"[-118.8987, 38.3837, 10.6]"
2060,Feature,nn00579399,1.1,"41 km WNW of Rachel, Nevada",1487623934026,1530555980005,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00579399,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00579399&format=geojson,,,,,reviewed,0,19,nn,00579399,",nn00579399,",",nn,",",origin,phase-data,",6.0,0.367,0.1417,186.23,ml,earthquake,"M 1.1 - 41 km WNW of Rachel, Nevada",Point,"[-116.1549, 37.8193, 5.8]"
2061,Feature,us20008kz5,4.2,"20 km SW of Santiago Tepextla, Mexico",1487623457610,1494983974040,,https://earthquake.usgs.gov/earthquakes/eventpage/us20008kz5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20008kz5&format=geojson,1.0,1.0,,,reviewed,0,271,us,20008kz5,",us20008kz5,",",us,",",dyfi,origin,phase-data,",,0.466,1.22,197.0,mb,earthquake,"M 4.2 - 20 km SW of Santiago Tepextla, Mexico",Point,"[-98.5714, 16.2019, 23.75]"
2062,Feature,ak0172cogqvz,0.8,"30 km NE of Livengood, Alaska",1487622309111,1560871893700,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cogqvz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cogqvz&format=geojson,,,,,reviewed,0,10,ak,0172cogqvz,",ak15316692,ak0172cogqvz,",",ak,ak,",",associate,origin,phase-data,",,,0.72,,ml,earthquake,"M 0.8 - 30 km NE of Livengood, Alaska",Point,"[-148.0779, 65.7139, 10.4]"
2063,Feature,nc72765961,1.75,"9 km W of Cobb, California",1487622227500,1488000902403,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765961,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765961&format=geojson,,,,,reviewed,0,47,nc,72765961,",nc72765961,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",30.0,0.001149,0.03,116.0,md,earthquake,"M 1.8 - 9 km W of Cobb, California",Point,"[-122.8278333, 38.8093333, 0.88]"
2064,Feature,nc72765956,0.67,"8 km SW of Cobb, California",1487622112810,1487623022995,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765956,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765956&format=geojson,,,,,automatic,0,7,nc,72765956,",nc72765956,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.009148,0.05,189.0,md,earthquake,"M 0.7 - 8 km SW of Cobb, California",Point,"[-122.8033371, 38.7791672, 0.75]"
2065,Feature,ci37586439,1.11,"11km SW of Idyllwild, CA",1487622077660,1494958732152,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37586439,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37586439&format=geojson,,,,,reviewed,0,19,ci,37586439,",ci37586439,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",42.0,0.05741,0.16,75.0,ml,earthquake,"M 1.1 - 11km SW of Idyllwild, CA",Point,"[-116.7931667, 33.665, 13.61]"
2066,Feature,us20008kyg,3.4,"27 km SSE of Wright, Wyoming",1487622072930,1494983974040,,https://earthquake.usgs.gov/earthquakes/eventpage/us20008kyg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20008kyg&format=geojson,,,,,reviewed,0,178,us,20008kyg,",us20008kyg,",",us,",",origin,phase-data,",,1.133,1.46,97.0,ml,mining explosion,"M 3.4 Mining Explosion - 27 km SSE of Wright, Wyoming",Point,"[-105.3614, 43.5182, 0]"
2067,Feature,nc72765951,1.29,California-Nevada border region,1487621838040,1487719983579,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765951,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765951&format=geojson,,,,,reviewed,0,26,nc,72765951,",nc72765951,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.1514,0.04,247.0,md,earthquake,M 1.3 - California-Nevada border region,Point,"[-118.862, 37.4406667, -0.19]"
2068,Feature,pr17051008,2.9,"8 km N of Quebradillas, Puerto Rico",1487621547100,1487634940140,,https://earthquake.usgs.gov/earthquakes/eventpage/pr17051008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr17051008&format=geojson,,,,,REVIEWED,0,129,pr,17051008,",pr17051008,",",pr,",",origin,",13.0,0.18684958,0.47,205.2,Md,earthquake,"M 2.9 - 8 km N of Quebradillas, Puerto Rico",Point,"[-66.933, 18.5489, 73]"
2069,Feature,ak0172cocbtw,1.3,"11 km NNW of Cantwell, Alaska",1487621087722,1560871893270,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cocbtw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cocbtw&format=geojson,,,,,reviewed,0,26,ak,0172cocbtw,",ak15316684,ak0172cocbtw,",",ak,ak,",",associate,origin,phase-data,",,,0.54,,ml,earthquake,"M 1.3 - 11 km NNW of Cantwell, Alaska",Point,"[-149.0777, 63.477, 93.3]"
2070,Feature,mb80199849,1.29,"5 km ENE of Butte, Montana",1487620962460,1487629554500,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80199849,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80199849&format=geojson,,,,,reviewed,0,26,mb,80199849,",mb80199849,",",mb,",",origin,phase-data,",10.0,0.06,0.1,80.0,ml,quarry blast,"M 1.3 Quarry Blast - 5 km ENE of Butte, Montana",Point,"[-112.4701667, 46.0128333, -2]"
2071,Feature,ci37586423,0.91,"4km N of Lake Isabella, CA",1487620845530,1494957455167,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37586423,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37586423&format=geojson,,,,,reviewed,0,13,ci,37586423,",ci37586423,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.009766,0.1,147.0,ml,earthquake,"M 0.9 - 4km N of Lake Isabella, CA",Point,"[-118.4691667, 35.6538333, 8.1]"
2072,Feature,ak0172co1f7x,1.6,"41 km N of Petersville, Alaska",1487620439491,1560871892828,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172co1f7x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172co1f7x&format=geojson,,,,,reviewed,0,39,ak,0172co1f7x,",ak15316678,ak0172co1f7x,",",ak,ak,",",associate,origin,phase-data,",,,0.56,,ml,earthquake,"M 1.6 - 41 km N of Petersville, Alaska",Point,"[-150.7844, 62.8721, 98.2]"
2073,Feature,ak0172co0xhu,2.2,"50 km SSE of Adak, Alaska",1487620289783,1560871892350,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172co0xhu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172co0xhu&format=geojson,,,,,reviewed,0,74,ak,0172co0xhu,",ak15434436,ak0172co0xhu,",",ak,ak,",",associate,origin,phase-data,",,,0.41,,ml,earthquake,"M 2.2 - 50 km SSE of Adak, Alaska",Point,"[-176.404, 51.4428, 22.4]"
2074,Feature,ak0172co0jqr,0.6,"56 km SSE of Central, Alaska",1487620191555,1560871891955,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172co0jqr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172co0jqr&format=geojson,,,,,reviewed,0,6,ak,0172co0jqr,",ak15316676,ak0172co0jqr,",",ak,ak,",",associate,origin,phase-data,",,,0.51,,ml,earthquake,"M 0.6 - 56 km SSE of Central, Alaska",Point,"[-144.1551, 65.1401, 1.4]"
2075,Feature,hv61614256,1.48,"15 km S of Fern Forest, Hawaii",1487620053110,1594069337470,,https://earthquake.usgs.gov/earthquakes/eventpage/hv61614256,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv61614256&format=geojson,,,,,reviewed,0,34,hv,61614256,",hv61614256,",",hv,",",origin,phase-data,",33.0,,0.12,136.0,md,earthquake,"M 1.5 - 15 km S of Fern Forest, Hawaii",Point,"[-155.1266667, 19.3301667, 4.17]"
2076,Feature,ak0172cnzw9o,1.1,"36 km NNW of Lake Minchumina, Alaska",1487620007323,1560871891554,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cnzw9o,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cnzw9o&format=geojson,,,,,reviewed,0,19,ak,0172cnzw9o,",ak15316674,ak0172cnzw9o,",",ak,ak,",",associate,origin,phase-data,",,,0.75,,ml,earthquake,"M 1.1 - 36 km NNW of Lake Minchumina, Alaska",Point,"[-152.52, 64.1932, 9.1]"
2077,Feature,ak0172cnz9lp,1.3,"61 km SE of Denali National Park, Alaska",1487619833577,1560871891093,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cnz9lp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cnz9lp&format=geojson,,,,,reviewed,0,26,ak,0172cnz9lp,",ak15316011,ak0172cnz9lp,",",ak,ak,",",associate,origin,phase-data,",,,0.39,,ml,earthquake,"M 1.3 - 61 km SE of Denali National Park, Alaska",Point,"[-150.7295, 63.2151, 124]"
2078,Feature,ak0172cnyqwn,0.1,"2 km WSW of Fox, Alaska",1487619671278,1560871890369,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cnyqwn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cnyqwn&format=geojson,,,,,reviewed,0,0,ak,0172cnyqwn,",ak15316010,ak0172cnyqwn,",",ak,ak,",",associate,origin,phase-data,",,,0.23,,ml,earthquake,"M 0.1 - 2 km WSW of Fox, Alaska",Point,"[-147.6788, 64.9504, 9.9]"
2079,Feature,us20008ky6,4.7,"35 km W of La Guinea, Panama",1487619348360,1614537928748,,https://earthquake.usgs.gov/earthquakes/eventpage/us20008ky6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20008ky6&format=geojson,389.0,5.7,,,reviewed,0,562,us,20008ky6,",us20008ky6,",",us,",",dyfi,origin,phase-data,",,1.041,0.85,85.0,mb,earthquake,"M 4.7 - 35 km W of La Guinea, Panama",Point,"[-79.2494, 8.2963, 16.46]"
2080,Feature,hv61614251,1.27,"7 km SW of Volcano, Hawaii",1487619243310,1594069321330,,https://earthquake.usgs.gov/earthquakes/eventpage/hv61614251,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv61614251&format=geojson,,,,,reviewed,0,25,hv,61614251,",hv61614251,",",hv,",",origin,phase-data,",32.0,,0.07,46.0,md,earthquake,"M 1.3 - 7 km SW of Volcano, Hawaii",Point,"[-155.2785, 19.3921667, 1.47]"
2081,Feature,us100086w4,3.1,"46 km SSE of Adak, Alaska",1487619168470,1560871889923,,https://earthquake.usgs.gov/earthquakes/eventpage/us100086w4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us100086w4&format=geojson,,,,,reviewed,0,148,us,100086w4,",ak15316008,ak0172cnww95,us100086w4,",",ak,ak,us,",",associate,origin,phase-data,",,0.436,0.09,290.0,ml,earthquake,"M 3.1 - 46 km SSE of Adak, Alaska",Point,"[-176.4253, 51.4769, 37.05]"
2082,Feature,pr17051007,3.2,"38 km WSW of Stella, Puerto Rico",1487618922200,1494983974040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr17051007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr17051007&format=geojson,,,,,REVIEWED,0,158,pr,17051007,",us20008l0h,pr17051007,",",us,pr,",",origin,phase-data,",13.0,0.25601986,0.37,266.4,Md,earthquake,"M 3.2 - 38 km WSW of Stella, Puerto Rico",Point,"[-67.5538, 18.1366, 136]"
2083,Feature,us100085zk,4.1,"34 km NW of Bima, Indonesia",1487618863660,1494983974040,,https://earthquake.usgs.gov/earthquakes/eventpage/us100085zk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us100085zk&format=geojson,,,,,reviewed,0,259,us,100085zk,",us100085zk,",",us,",",origin,phase-data,",,3.39,0.7,71.0,mb,earthquake,"M 4.1 - 34 km NW of Bima, Indonesia",Point,"[118.5449, -8.2064, 13.14]"
2084,Feature,us20008ky4,4.9,"110 km SE of Ust’-Kamchatsk Staryy, Russia",1487618718850,1494983974040,,https://earthquake.usgs.gov/earthquakes/eventpage/us20008ky4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20008ky4&format=geojson,,,,,reviewed,0,369,us,20008ky4,",us20008ky4,",",us,",",origin,phase-data,",,3.799,0.95,87.0,mb,earthquake,"M 4.9 - 110 km SE of Ust’-Kamchatsk Staryy, Russia",Point,"[163.6044, 55.4652, 10]"
2085,Feature,nn00579317,0.6,"1 km SW of Sparks, Nevada",1487618577998,1530555979916,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00579317,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00579317&format=geojson,,,,,reviewed,0,6,nn,00579317,",nn00579317,",",nn,",",origin,phase-data,",7.0,0.013,0.0907,95.85,ml,earthquake,"M 0.6 - 1 km SW of Sparks, Nevada",Point,"[-119.7625, 39.5242, 3.8]"
2086,Feature,nn00579316,1.2,"1 km WSW of Sparks, Nevada",1487618328500,1530555979804,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00579316,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00579316&format=geojson,,,,,reviewed,0,22,nn,00579316,",nn00579316,",",nn,",",origin,phase-data,",15.0,0.005,0.1381,42.83,ml,earthquake,"M 1.2 - 1 km WSW of Sparks, Nevada",Point,"[-119.7705, 39.5299, 4.6]"
2087,Feature,ak0172cnq21u,1.6,"28 km SSE of Rampart, Alaska",1487617256665,1560871889400,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cnq21u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cnq21u&format=geojson,,,,,reviewed,0,39,ak,0172cnq21u,",ak15316002,ak0172cnq21u,",",ak,ak,",",associate,origin,phase-data,",,,0.53,,ml,earthquake,"M 1.6 - 28 km SSE of Rampart, Alaska",Point,"[-149.942, 65.2677, 16.3]"
2088,Feature,ak0172cnekwx,0.3,"7 km SSE of Eielson Air Force Base, Alaska",1487616422419,1560871888937,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172cnekwx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172cnekwx&format=geojson,,,,,reviewed,0,1,ak,0172cnekwx,",ak15316001,ak0172cnekwx,",",ak,ak,",",associate,origin,phase-data,",,,0.39,,ml,earthquake,"M 0.3 - 7 km SSE of Eielson Air Force Base, Alaska",Point,"[-146.9998, 64.6034, 12.4]"
2089,Feature,nc72765941,0.44,"15 km NW of Parkfield, California",1487616255580,1487904670387,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72765941,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72765941&format=geojson,,,,,reviewed,0,3,nc,72765941,",nc72765941,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01752,0.06,84.0,md,earthquake,"M 0.4 - 15 km NW of Parkfield, California",Point,"[-120.5516667, 35.9968333, 2.08]"
